Macrotrends Data Download,,
,,
West Midlands, UK Metro Area Population 1950-2022,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Population, Annual Change
31/12/1950,2229000,0
31/12/1951,2240000,0.49
31/12/1952,2250000,0.45
31/12/1953,2261000,0.49
31/12/1954,2272000,0.49
31/12/1955,2283000,0.48
31/12/1956,2293000,0.44
31/12/1957,2304000,0.48
31/12/1958,2315000,0.48
31/12/1959,2326000,0.48
31/12/1960,2338000,0.52
31/12/1961,2347000,0.38
31/12/1962,2350000,0.13
31/12/1963,2352000,0.09
31/12/1964,2355000,0.13
31/12/1965,2357000,0.08
31/12/1966,2360000,0.13
31/12/1967,2362000,0.08
31/12/1968,2365000,0.13
31/12/1969,2367000,0.08
31/12/1970,2370000,0.13
31/12/1971,2371000,0.04
31/12/1972,2370000,-0.04
31/12/1973,2368000,-0.08
31/12/1974,2366000,-0.08
31/12/1975,2365000,-0.04
31/12/1976,2363000,-0.08
31/12/1977,2362000,-0.04
31/12/1978,2360000,-0.08
31/12/1979,2358000,-0.08
31/12/1980,2357000,-0.04
31/12/1981,2354000,-0.13
31/12/1982,2348000,-0.25
31/12/1983,2342000,-0.26
31/12/1984,2336000,-0.26
31/12/1985,2330000,-0.26
31/12/1986,2324000,-0.26
31/12/1987,2318000,-0.26
31/12/1988,2312000,-0.26
31/12/1989,2307000,-0.22
31/12/1990,2301000,-0.26
31/12/1991,2296000,-0.22
31/12/1992,2295000,-0.04
31/12/1993,2293000,-0.09
31/12/1994,2292000,-0.04
31/12/1995,2291000,-0.04
31/12/1996,2290000,-0.04
31/12/1997,2289000,-0.04
31/12/1998,2287000,-0.09
31/12/1999,2286000,-0.04
31/12/2000,2285000,-0.04
31/12/2001,2287000,0.09
31/12/2002,2302000,0.66
31/12/2003,2318000,0.7
31/12/2004,2333000,0.65
31/12/2005,2349000,0.69
31/12/2006,2365000,0.68
31/12/2007,2381000,0.68
31/12/2008,2397000,0.67
31/12/2009,2413000,0.67
31/12/2010,2429000,0.66
31/12/2011,2445000,0.66
31/12/2012,2463000,0.74
31/12/2013,2480000,0.69
31/12/2014,2498000,0.73
31/12/2015,2516000,0.72
31/12/2016,2534000,0.72
31/12/2017,2552000,0.71
31/12/2018,2570000,0.71
31/12/2019,2589000,0.74
31/12/2020,2607000,0.7
31/12/2021,2626000,0.73
31/12/2022,2646000,0.76
31/12/2023,2665000,0.72
31/12/2024,2685000,0.75
31/12/2025,2705000,0.74
31/12/2026,2724000,0.7
31/12/2027,2744000,0.73
31/12/2028,2764000,0.73
31/12/2029,2783000,0.69
31/12/2030,2802000,0.68
31/12/2031,2820000,0.64
31/12/2032,2838000,0.64
31/12/2033,2856000,0.63
31/12/2034,2874000,0.63
31/12/2035,2891000,0.59
